date,total_pnl,num_trades,avg_size,total_volume,wins,losses,longs,shorts,win_rate,ls_ratio,fg_index,sentiment,sentiment_enc,next_day_pnl,target,pnl_std,vol_bucket
2024-05-12,0.0,23,2399.111304347826,55179.56,0.0,0.0,17.0,0.0,0.0,16999999999.999998,56.0,Greed,3,2136.853859,1,755.0264549997021,Low
2024-05-13,2136.853859,28,6897.103571428571,193118.9,10.0,0.0,15.0,10.0,0.9999999999,1.49999999985,57.0,Greed,3,1150.5233050000002,1,918.8822949635374,Low
2024-05-14,1150.5233050000002,23,6341.452173913043,145853.4,4.0,0.0,19.0,4.0,0.99999999975,4.7499999988125,66.0,Greed,3,948.970582,1,922.0785185492839,Low
2024-05-15,948.970582,36,6525.626944444444,234922.57,17.0,0.0,24.0,12.0,0.9999999999411765,1.9999999998333333,64.0,Greed,3,214.5898,1,820.1378001700689,Low
2024-05-16,214.5898,27,6022.998518518518,162620.96,5.0,0.0,9.0,15.0,0.9999999998,0.59999999996,70.0,Greed,3,3522.3946610000003,1,885.346002236999,Low
2024-05-18,3522.3946610000003,25,5052.1256,126303.14,16.0,0.0,9.0,16.0,0.9999999999375,0.5624999999648438,73.0,Greed,3,0.0,0,1267.7266070383002,Low
2024-05-19,0.0,8,3749.76125,29998.09,0.0,0.0,8.0,0.0,0.0,7999999999.999999,72.0,Greed,3,-74.818442,0,1301.390448863967,Low
2024-05-20,-74.818442,10,3812.475,38124.75,0.0,3.0,10.0,0.0,0.0,10000000000.0,70.0,Greed,3,7289.397571999999,1,1312.5639177061707,Low
2024-05-21,7289.397571999999,125,8807.588720000002,1100948.59,14.0,11.0,32.0,93.0,0.5599999999776,0.3440860215016765,76.0,Extreme Greed,1,0.0,0,2692.1368563361398,Low
2024-05-22,0.0,6,7499.215,44995.29,0.0,0.0,0.0,6.0,0.0,0.0,76.0,Extreme Greed,1,413.347329,1,2776.777407613203,Low
